height,lengte
height,hoogte
! measure,maat
to measure,meten
decline,achteruitgang
modest,bescheiden
(in)adequate,(on)voldoende
(in)sufficient,(on)voldoende
pace,tempo
merely/only,alleen maar/louter
range,reeks/scala
range,bereik
pile,stapel
scale,schaal
to enlarge,vergroten
tiny,heel klein
moderate,matig
rather/pretty/fairly,tamelijk/nogal
several/various,verschillende
variety,verscheidenheid
at least,ten minste/minstens
extraordinary ,buitengewoon
to add,toevoegen
addition,toevoeging
additional,extra/aanvullend
