"keep to, to",zich houden aan
" stick to, to",zich houden aan
substitute,invaller/vervanger
match,partij/gelijke
advantage,voordeel
disadvantage,nadeel
  drawback,nadeel
entry,inschrijving/deelnemer
in favour of,ten gunste van
endurance/stamina,uithoudingsvermogen
to disqualify,diskwalificeren
facility,voorziening/faciliteit
agreement,overeenkomst
to perform,presteren
performance,prestatie
exercise,lichaamsbeweging
to exercise,oefenen
strength,kracht
in order to/to,om te
to benefit,goed zijn voor
tournament,toernooi
runner-up,tweede
to succeed (in) + ing vorm,erin slagen
to manage (to),erin slagen
achievement,prestatie
to achieve,bereiken
abusive language/,scheldwoorden
  foul language,scheldwoorden
to swear at  (swore--sworn),uitschelden
