awful,afschuwelijk
terrible,afschuwelijk
horrible,afschuwelijk
dreadful,afschuwelijk
awesome,geweldig/gaaf
to freeze  (froze-frozen) ,vriezen
below zero,onder nul
degree,graad
however,echter/toch
season,seizoen
to forecast/predict,voorspellen
forecast/prediction,voorspelling
(un)predictable,(on)voorspelbaar
to improve,verbeteren
improvement,verbetering
(un)favourable,(on)gunstig
shower,regenbui
gale/storm,storm
severe,streng/zwaar
spell/period,periode
dry,droog
to rely on,vertrouwen op
reliable,betrouwbaar
reliability,betrouwbaarheid
phenomenon,verschijnsel
gloomy,somber
(dis)agreeable,(on)aangenaam
shelter,schuilplaats
ray/beam,straal
nasty,akelig/naar
to adjust/to adapt,zich aanpassen
to take advantage of,gebruik maken van
