to astonish,verbazen
astonishment,verbazing
to amaze,verbazen
amazing,verbazingwekkend
amazement,verbazing
relieved,opgelucht
relief,opluchting
to reconcile,verzoenen
reconciliation,verzoening
silly/foolish,dwaas
to impress,indruk maken
impression,indruk
impressive,indrukwekkend
to fear,bang zijn/vrezen
fear,angst
favour,gunst
to scream/to yell,gillen
to stun/to baffle,verbijsteren
to move,ontroeren
sad,droevig/triest
temper,humeur
to boast,opscheppen/pochen
reluctant ,met tegenzin
reluctance,tegenzin
upset,van streek
to upset,van streek maken
disgust,walging/afschuw
disgusting,walgelijk
to appreciate,waarderen
appreciation,waardering
awkward ,pijnlijk/gênant
awkward,opgelaten/ongemakkelijk
