age,tijdperk
era,tijdperk
schedule,(tijd)schema
! opportunity,goede gelegenheid/kans
! occasion,gelegenheid
on the occasion of,ter gelegenheid van
occasionally,af en toe
to expire,verlopen
to expire,aflopen
of late/lately/recently,de laatste tijd
recently,onlangs/kort geleden
prospect,vooruitzicht
origin,oorsprong
contemporary,tijdgenoot
elderly,bejaard
instant/moment,ogenblik
instant/immediate,onmiddellijk
to anticipate/ to expect,verwachten
in anticipation of,in afwachting van
contrary to,tegen/in tegenstelling tot
on the contrary,integendeel
ahead,vooruit
eternal,eeuwig
eternity,eeuwigheid
youth,jeugd
to continue,doorgaan
continually/,voortdurend
