mobile phonel ,mobiele telefoon
cel phone,mobiele telefoon
dial,wijzerplaat/kiesschijf
to dial,draaien/kiezen (tel.nr.)
keypad,toetsenbord
area code,netnummer/kengetal
country code,landnummer
phone credit,beltegoed
engaged,in gesprek
landline phone,vaste telefoon  
answerphone,antwoordapparaat
  answering machine,antwoordapparaat
to record,opnemen
battery,batterij/accu
indispensable,onmisbaar
phone box/call box,telefooncel
phone booth,telefooncel
phone card,telefoonkaart
calling card,telefoonkaart
phone credit/,beltegoed
  calling credit,beltegoed
to top up,opwaarderen
editor,redacteur
letter to the editor,ingezonden brief
magazine,tijdschrift
issue,nummer (van tijdschrift )
headline,(kranten)kop
local,plaatselijk/lokaal
cutting,knipsel
tabloid,sensatiekrant
