chips,friet
French fries (AE),friet
crisps,chips
hardly/scarcely/barely,nauwelijks
wholesome,gezond (van voedsel)
organic,biologisch
cereal,graanproduct
tray,dienblad
pie,pasteitje
(un)fit/(un)suitable,(on)geschikt
dessert,nagerecht
roll/bun,broodje
herb,kruid
flavour,smaak
to feed (fed-fed),voeden
to nourish,voeden
nutritious,voedzaam
nutrient,voedingsstof
nutritional value,voedingswaarde
recipe,(kook)recept
shortage,tekort
famine,hongersnood
drought,droogte
to lead to (led – led),leiden tot
to starve,honger lijden
to starve to death,van honger sterven
device/gadget,apparaatje
dishwasher,afwasmachine
dishes,afwas/vaatwerk
sink,gootsteen
