to leave,vertrekken
"depart, to",vertrekken
departure,vertrek
arrival,aankomst
platform,perron
carriage,wagon/rijtuig
vacant,vrij/niet bezet
coach,touringcar/bus
cargo,lading/vracht
taxi/cab,taxi
queue,rij
to queue,in de rij staan
"connect, to",verbinden
"link, to",verbinden
link,"verbinding, verband"
connection,"verbinding, verband"
commuter ,forens
to commute,forenzen
fare,tarief (vervoer)
distant,ver/afgelegen
vulnerable,kwetsbaar
to fine,bekeuren
fine,boete
ticket,bekeuring/bon
speeding,te hard rijden
regulation/rule,regel
to check,controleren
pressure,druk
underground/tube,metro
! subway,"voetgangerstunnel, metro (Engels)"
