to prosper/,bloeien
  to flourish,bloeien
joint,gezamenlijk
to settle,regelen
magnate/tycoon,magnaat
bankruptcy,faillissement
to cash in on,profiteren van
to relate to,in verband staan met
affluent,rijk/welvarend
affluence,rijkdom/weelde
revenue,inkomsten
to amount to,bedragen
quest,zoektocht
due,verschuldigd
to soar,omhoogschieten
proceeds,opbrengst
legacy,erfenis
funds,geld/fondsen
to provide for,zorgen voor
to transfer,overmaken/overboeken
arrears,achterstand
to boil down to,neerkomen op
to allocate,toewijzen
to impose,opleggen
fee,bedrag/geld
fee,honorarium
to shift,verplaatsen
shift,verschuiving
to evolve,zich ontwikkelen
